ID,请求ID,AccessKey名称,模型,消耗token,类型,金额（元）,时间
643149,tk-20260518235834-b25v1f,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:58:34"
643160,tk-20260518235740-i144kj,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:57:40"
643151,tk-20260518235728-9irljf,MX,seedance2.0,195300,消费,-8.9838,"2026-05-18 23:57:28"
643150,tk-20260518235707-hwmu3m,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:57:07"
643146,tk-20260518235412-l2zbks,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:54:12"
643136,tk-20260518235255-ucusoj,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:52:55"
643147,tk-20260518234840-wh2iyi,MX,seedance2.0,87300,消费,-4.0158,"2026-05-18 23:48:40"
643134,tk-20260518234729-t6gba4,MX,seedance2.0,152100,消费,-6.9966,"2026-05-18 23:47:29"
643126,tk-20260518234304-mfdx06,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:43:04"
643125,tk-20260518234212-jpdnvj,MX,seedance2.0,152100,消费,-6.9966,"2026-05-18 23:42:12"
643115,tk-20260518234007-8cekai,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:40:07"
643116,tk-20260518233702-0ekgdq,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 23:37:02"
643111,tk-20260518233201-dmbdri,MX,seedance2.0,87300,消费,-4.0158,"2026-05-18 23:32:01"
643101,tk-20260518232920-fa1oc4,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:29:20"
643098,tk-20260518232714-kcecmh,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:27:14"
643091,tk-20260518231952-bio66n,MX,seedance2.0,152100,消费,-6.9966,"2026-05-18 23:19:52"
643086,tk-20260518231648-v7g09u,MX,seedance2.0,173700,消费,-7.9902,"2026-05-18 23:16:48"
643090,tk-20260518231537-3hkof1,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 23:15:37"
643083,tk-20260518231448-jo5wt0,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:14:48"
643081,tk-20260518231236-17cso6,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 23:12:36"
643079,tk-20260518231207-73096u,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 23:12:07"
643085,tk-20260518231201-mj4u12,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:12:01"
643073,tk-20260518230926-m7bh7s,MX,seedance2.0,152100,消费,-6.9966,"2026-05-18 23:09:26"
643072,tk-20260518230911-hvyuen,MX,seedance2.0,87300,消费,-4.0158,"2026-05-18 23:09:11"
643075,tk-20260518230704-h7ekpx,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 23:07:04"
643066,tk-20260518230524-doctr6,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 23:05:24"
643061,tk-20260518230229-orhufy,MX,seedance2.0,152100,消费,-6.9966,"2026-05-18 23:02:29"
643047,tk-20260518225435-duheyv,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 22:54:35"
643046,tk-20260518225103-gmxrnz,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 22:51:03"
643038,tk-20260518225008-g82l01,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 22:50:08"
643026,tk-20260518224256-5wo5j1,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:42:56"
643024,tk-20260518224249-ks7kl8,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:42:49"
643017,tk-20260518224142-v1pu5k,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:41:42"
643014,tk-20260518223740-s9dz3x,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:37:40"
643005,tk-20260518223546-cpkd3s,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:35:46"
642996,tk-20260518223200-qfo91w,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:32:00"
642965,tk-20260518222843-5gskr8,MX,seedance2.0,260100,消费,-11.9646,"2026-05-18 22:28:43"
642922,tk-20260518222313-02dqjw,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:23:13"
642903,tk-20260518222203-hfnznr,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:22:03"
642893,tk-20260518222155-kida52,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:21:55"
642872,tk-20260518221934-n21plc,MX,seedance2.0,260100,消费,-11.9646,"2026-05-18 22:19:34"
642846,tk-20260518221519-v06755,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:15:19"
642820,tk-20260518221450-bwm3qv,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:14:50"
642827,tk-20260518221324-mmb0el,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:13:24"
642809,tk-20260518221256-akxhcc,MX,seedance2.0,87300,消费,-4.0158,"2026-05-18 22:12:56"
642807,tk-20260518221244-y0mnch,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 22:12:44"
642802,tk-20260518220825-h9hi6l,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:08:25"
642790,tk-20260518220724-2andgn,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:07:24"
642788,tk-20260518220638-q8t8ux,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 22:06:38"
642794,tk-20260518220446-maqo4h,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:04:46"
642793,tk-20260518220444-a8ejzl,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:04:44"
642792,tk-20260518220421-ebv00c,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:04:21"
642772,tk-20260518220040-hcmgf9,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 22:00:40"
642760,tk-20260518215844-16d132,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 21:58:44"
642758,tk-20260518215821-ue31s4,MX,seedance2.0,260100,消费,-11.9646,"2026-05-18 21:58:21"
642770,tk-20260518215729-wxiufq,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:57:29"
642755,tk-20260518215710-eika2w,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 21:57:10"
642766,tk-20260518215703-3xpyyt,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:57:03"
642764,tk-20260518215652-m8y2cy,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:56:52"
642759,tk-20260518215535-r8fcl9,MX,seedance2.0,173700,消费,-7.9902,"2026-05-18 21:55:35"
642742,tk-20260518215309-228p89,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 21:53:09"
642752,tk-20260518215228-puat1z,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:52:28"
642730,tk-20260518215116-h2hy5e,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:51:16"
642724,tk-20260518215040-de4l3d,MX,seedance2.0,173700,消费,-7.9902,"2026-05-18 21:50:40"
642685,tk-20260518214919-zkmvdt,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:49:19"
642712,tk-20260518214657-hgqa20,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:46:57"
642700,tk-20260518214634-f2kscq,MX,seedance2.0,303300,消费,-13.9518,"2026-05-18 21:46:34"
642667,tk-20260518214549-hkprk8,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:45:49"
642647,tk-20260518214526-y2lwez,MX,seedance2.0,152100,消费,-6.9966,"2026-05-18 21:45:26"
642646,tk-20260518214515-hijvny,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 21:45:15"
642644,tk-20260518214451-zud9qg,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:44:51"
642659,tk-20260518214358-7xcjl5,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:43:58"
642654,tk-20260518214335-xlx3y8,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:43:35"
642649,tk-20260518214309-7hy6av,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:43:09"
642598,tk-20260518214229-fkz814,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:42:29"
642641,tk-20260518214134-ljq29b,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:41:34"
642588,tk-20260518214131-q7vphg,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:41:31"
642601,tk-20260518214030-ozja3z,MX,seedance2.0,281700,消费,-12.9582,"2026-05-18 21:40:30"
642596,tk-20260518213911-k4f4cy,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:39:11"
642571,tk-20260518213853-qbhyrq,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 21:38:53"
642642,tk-20260518213840-0v9zr7,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:38:40"
642584,tk-20260518213811-yq72fm,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:38:11"
642562,tk-20260518213727-u1lqt9,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:37:27"
642539,tk-20260518213643-zdj06j,MX,seedance2.0,108900,消费,-5.0094,"2026-05-18 21:36:43"
642573,tk-20260518213555-mvkhfd,MX,seedance2.0,281700,消费,-12.9582,"2026-05-18 21:35:55"
642570,tk-20260518213551-cq058m,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:35:51"
642569,tk-20260518213532-2p2fl5,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:35:32"
642567,tk-20260518213529-0jd7oq,MX,seedance2.0,260100,消费,-11.9646,"2026-05-18 21:35:29"
642550,tk-20260518213451-2dpqra,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:34:51"
642563,tk-20260518213433-cb9qrj,MX,seedance2.0,260100,消费,-11.9646,"2026-05-18 21:34:33"
642546,tk-20260518213422-51n077,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:34:22"
642558,tk-20260518213258-uoakek,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:32:58"
642530,tk-20260518213246-85lubn,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:32:46"
642554,tk-20260518213232-ittygz,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:32:32"
642553,tk-20260518213222-j09fvl,MX,seedance2.0,260100,消费,-11.9646,"2026-05-18 21:32:22"
642552,tk-20260518213216-jhanyf,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:32:16"
642524,tk-20260518213205-jpd3zn,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:32:05"
642519,tk-20260518213157-2jezl4,MX,seedance2.0,141034,消费,-6.4875,"2026-05-18 21:31:57"
642549,tk-20260518213143-wpc9pb,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:31:43"
642548,tk-20260518213138-9hnme6,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:31:38"
642515,tk-20260518213135-drju80,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:31:35"
642513,tk-20260518213123-4fuyt6,MX,seedance2.0,110902,消费,-5.1014,"2026-05-18 21:31:23"
642545,tk-20260518213115-t92ntq,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:31:15"
